Point #,Graniteville Granite,Butler Hill Granite,Silver Mine Granite,Knob Lick Granite,Knob Lick Dike
1,Q,X,X,A,P
2,Q,X,A,A,P
3,Q,A,A,Q,P
4,A,A,A,P,Q
5,A,A,A,Q,Q
6,A,A,Q,A,A
7,A,A,A,A,A
8,Q,X,A,A,Q
9,A,Q,A,A,Q
10,A,A,A,A,A
11,Q,A,A,A,P
12,Q,Q,P,X,P
13,A,A,P,Q,Q
14,Q,Q,Q,Q,Q
15,Q,A,Q,A,A
16,Q,Q,A,A,A
17,P,A,X,A,A
18,P,A,A,A,X
19,Q,Q,A,Q,A
20,Q,Q,X,Q,Q
21,Q,Q,X,Q,Q
22,Q,Q,Q,A,Q
23,Q,A,Q,Q,A
24,P,A,A,A,Q
25,Q,P,A,Q,Q
26,P,P,A,Q,A
27,P,A,Q,Q,A
28,A,P,A,Q,A
29,A,Q,X,Q,A
30,Q,A,Q,A,X
31,Q,A,X,A,A
32,A,A,P,A,A
33,Q,A,A,A,Q
34,Q,A,X,A,A
35,Q,X,Q,Q,Q
36,Q,A,X,Q,Q
37,Q,A,P,A,A
38,Q,A,A,A,A
39,A,A,A,Q,A
40,Q,Q,X,Q,P
41,P,Q,Q,Q,A
42,P,P,A,A,X
43,P,A,A,Q,P
44,A,A,A,Q,Q
45,A,P,A,A,Q
46,Q,P,A,A,Q
47,A,P,Q,Q,A
48,A,P,A,A,Q
49,Q,Q,Q,A,Q
50,A,Q,A,Q,A
51,A,A,Q,Q,A
52,A,A,Q,X,A
53,A,Q,A,Q,A
54,A,P,A,A,A
55,P,A,P,A,P
56,A,A,A,P,Q
57,Q,Q,Q,A,A
58,Q,Q,A,A,Q
59,Q,P,Q,A,A
60,P,A,Q,Q,A
61,Q,Q,A,Q,A
62,A,A,Q,Q,A
63,A,Q,A,Q,Q
64,Q,Q,Q,P,P
65,A,A,P,A,A
66,P,Q,A,A,A
67,Q,X,A,A,A
68,P,A,X,A,A
69,A,A,Q,P,P
70,Q,Q,Q,Q,Q
71,A,A,Q,A,Q
72,A,Q,P,P,A
73,Q,Q,A,A,P
74,Q,Q,Q,Q,A
75,Q,X,A,A,Q
76,Q,Q,Q,A,A
77,Q,P,A,X,A
78,A,Q,A,A,Q
79,A,Q,A,Q,X
80,P,Q,A,Q,A
81,Q,Q,Q,A,Q
82,A,X,P,A,A
83,A,Q,A,Q,Q
84,Q,A,A,Q,A
85,X,A,A,Q,A
86,P,Q,P,A,P
87,A,Q,P,A,P
88,Q,Q,A,A,P
89,A,A,X,Q,Q
90,A,A,A,X,A
91,P,P,Q,X,A
92,P,Q,A,A,A
93,A,A,A,Q,A
94,A,P,A,Q,P
95,A,Q,X,Q,P
96,Q,Q,A,A,X
97,A,A,A,A,P
98,A,A,A,A,P
99,A,Q,A,P,Q
100,A,Q,A,Q,A
